OBEC,OKRES,KRAJ
Karlovice,Zlín,"Zlínský kraj"
"Karlovy Vary","Karlovy Vary","Karlovarský kraj"
Karlov,"Žďár nad Sázavou",Vysočina
Karlštejn,Beroun,"Středočeský kraj"
Karolinka,Vsetín,"Zlínský kraj"
Karolín,Kroměříž,"Zlínský kraj"
Karviná,Karviná,"Moravskoslezský kraj"
Kasalice,Pardubice,"Pardubický kraj"
Kašava,Zlín,"Zlínský kraj"
Kasejovice,Plzeň-jih,"Plzeňský kraj"
Kašnice,Břeclav,"Jihomoravský kraj"
"Kašperské Hory",Klatovy,"Plzeňský kraj"
Kateřinice,"Nový Jičín","Moravskoslezský kraj"
Kateřinice,Vsetín,"Zlínský kraj"
Katov,Brno-venkov,"Jihomoravský kraj"
Katovice,Strakonice,"Jihočeský kraj"
Katov,Tábor,"Jihočeský kraj"
Katusice,"Mladá Boleslav","Středočeský kraj"
Kaznějov,Plzeň-sever,"Plzeňský kraj"
Kbelany,Plzeň-sever,"Plzeňský kraj"
Kbel,Kolín,"Středočeský kraj"
Kbelnice,Jičín,"Královéhradecký kraj"
Kbel,Plzeň-jih,"Plzeňský kraj"
Kdousov,Třebíč,Vysočina
Kdyně,Domažlice,"Plzeňský kraj"
Keblice,Litoměřice,"Ústecký kraj"
Keblov,Benešov,"Středočeský kraj"
Kejnice,Klatovy,"Plzeňský kraj"
Kejžlice,Pelhřimov,Vysočina
Kelčany,Hodonín,"Jihomoravský kraj"
Kelč,Vsetín,"Zlínský kraj"
Kelníky,Zlín,"Zlínský kraj"
Kestřany,Písek,"Jihočeský kraj"
Ketkovice,Brno-venkov,"Jihomoravský kraj"
Klabava,Rokycany,"Plzeňský kraj"
"Kladeruby nad Oslavou",Třebíč,Vysočina
Kladeruby,Vsetín,"Zlínský kraj"
Kladky,Prostějov,"Olomoucký kraj"
Kladníky,Přerov,"Olomoucký kraj"
Kladno,Chrudim,"Pardubický kraj"
Kladno,Kladno,"Středočeský kraj"
Kladruby,Benešov,"Středočeský kraj"
"Kladruby nad Labem",Pardubice,"Pardubický kraj"
Kladruby,Rokycany,"Plzeňský kraj"
Kladruby,Strakonice,"Jihočeský kraj"
Kladruby,Tachov,"Plzeňský kraj"
Kladruby,Teplice,"Ústecký kraj"
Klamoš,"Hradec Králové","Královéhradecký kraj"
Klapý,Litoměřice,"Ústecký kraj"
"Klášterec nad Ohří",Chomutov,"Ústecký kraj"
"Klášterec nad Orlicí","Ústí nad Orlicí","Pardubický kraj"
"Klášter Hradiště nad Jizerou","Mladá Boleslav","Středočeský kraj"
"Klášterní Skalice",Kolín,"Středočeský kraj"
Klášter,Plzeň-jih,"Plzeňský kraj"
"Klášterská Lhota",Trutnov,"Královéhradecký kraj"
Klatovec,Jihlava,Vysočina
Klatovy,Klatovy,"Plzeňský kraj"
Klecany,Praha-východ,"Středočeský kraj"
Klec,"Jindřichův Hradec","Jihočeský kraj"
"Klenčí pod Čerchovem",Domažlice,"Plzeňský kraj"
Kleneč,Litoměřice,"Ústecký kraj"
Klenová,Klatovy,"Plzeňský kraj"
"Klenovice na Hané",Prostějov,"Olomoucký kraj"
Klenovice,Tábor,"Jihočeský kraj"
Klentnice,Břeclav,"Jihomoravský kraj"
Klešice,Chrudim,"Pardubický kraj"
Klíčany,Praha-východ,"Středočeský kraj"
Klimkovice,Ostrava-město,"Moravskoslezský kraj"
Klínec,Praha-západ,"Středočeský kraj"
Klíny,Most,"Ústecký kraj"
"Klobouky u Brna",Břeclav,"Jihomoravský kraj"
Klobuky,Kladno,"Středočeský kraj"
Klokočí,Přerov,"Olomoucký kraj"
Klokočí,Semily,"Liberecký kraj"
Klokočná,Praha-východ,"Středočeský kraj"
Klokočov,"Havlíčkův Brod",Vysočina
Klopina,Šumperk,"Olomoucký kraj"
Klopotovice,Prostějov,"Olomoucký kraj"
Klučenice,Příbram,"Středočeský kraj"
Klučov,Kolín,"Středočeský kraj"
Klučov,Třebíč,Vysočina
Kluky,"Kutná Hora","Středočeský kraj"
Kluky,"Mladá Boleslav","Středočeský kraj"
Kluky,Písek,"Jihočeský kraj"
Kly,Mělník,"Středočeský kraj"
Kmetiněves,Kladno,"Středočeský kraj"
Kněždub,Hodonín,"Jihomoravský kraj"
Kněževes,Blansko,"Jihomoravský kraj"
Kněževes,Rakovník,"Středočeský kraj"
"Kněževes u Prahy",Praha-západ,"Středočeský kraj"
Kněževes,"Žďár nad Sázavou",Vysočina
Kněžice,Chrudim,"Pardubický kraj"
Kněžice,Jihlava,Vysočina
Kněžice,Nymburk,"Středočeský kraj"
Kněžičky,Nymburk,"Středočeský kraj"
Kněžmost,"Mladá Boleslav","Středočeský kraj"
Kněžnice,Jičín,"Královéhradecký kraj"
Kněžpole,"Uherské Hradiště","Zlínský kraj"
Knínice,Blansko,"Jihomoravský kraj"
Knínice,Jihlava,Vysočina
Kňovice,Příbram,"Středočeský kraj"
Knovíz,Kladno,"Středočeský kraj"
Knyk,"Havlíčkův Brod",Vysočina
Kobeřice,Opava,"Moravskoslezský kraj"
"Kobeřice u Brna",Vyškov,"Jihomoravský kraj"
Koberovice,Pelhřimov,Vysočina
Koberovy,"Jablonec nad Nisou","Liberecký kraj"
"Kobylá nad Vidnavkou",Jeseník,"Olomoucký kraj"
Kobylí,Břeclav,"Jihomoravský kraj"
Kobylice,"Hradec Králové","Královéhradecký kraj"
Kobylnice,Brno-venkov,"Jihomoravský kraj"
Kobylnice,"Kutná Hora","Středočeský kraj"
Kobylnice,"Mladá Boleslav","Středočeský kraj"
Kobyly,Liberec,"Liberecký kraj"
Kocbeře,Trutnov,"Královéhradecký kraj"
Kocelovice,Strakonice,"Jihočeský kraj"
Kochánky,"Mladá Boleslav","Středočeský kraj"
Kochánov,"Havlíčkův Brod",Vysočina
Kočí,Chrudim,"Pardubický kraj"
Kočín,Plzeň-sever,"Plzeňský kraj"
Koclířov,Svitavy,"Pardubický kraj"
Kočov,Tachov,"Plzeňský kraj"
Kohoutov,Trutnov,"Královéhradecký kraj"
Kojatice,Třebíč,Vysočina
Kojatín,Třebíč,Vysočina
Kojátky,Vyškov,"Jihomoravský kraj"
Kojčice,Pelhřimov,Vysočina
Kojetice,Mělník,"Středočeský kraj"
Kojetice,Třebíč,Vysočina
Kojetín,"Havlíčkův Brod",Vysočina
Kojetín,Přerov,"Olomoucký kraj"
Kojice,Pardubice,"Pardubický kraj"
Kokašice,Tachov,"Plzeňský kraj"
Kokořín,Mělník,"Středočeský kraj"
Kokory,Přerov,"Olomoucký kraj"
Kolaje,Nymburk,"Středočeský kraj"
Koldín,"Ústí nad Orlicí","Pardubický kraj"
Koleč,Kladno,"Středočeský kraj"
Kolešovice,Rakovník,"Středočeský kraj"
Kolešov,Rakovník,"Středočeský kraj"
Kolinec,Klatovy,"Plzeňský kraj"
Kolín,Kolín,"Středočeský kraj"
Kolomuty,"Mladá Boleslav","Středočeský kraj"
Kolová,"Karlovy Vary","Karlovarský kraj"
Koloveč,Domažlice,"Plzeňský kraj"
Kolšov,Šumperk,"Olomoucký kraj"
Komařice,"České Budějovice","Jihočeský kraj"
Komárno,Kroměříž,"Zlínský kraj"
Komárov,Beroun,"Středočeský kraj"
Komárovice,Třebíč,Vysočina
Komárov,Olomouc,"Olomoucký kraj"
Komárov,Tábor,"Jihočeský kraj"
Komárov,Zlín,"Zlínský kraj"
Komňa,"Uherské Hradiště","Zlínský kraj"
Komořany,Vyškov,"Jihomoravský kraj"
"Komorní Lhotka",Frýdek-Místek,"Moravskoslezský kraj"
Komorovice,Pelhřimov,Vysočina
Konárovice,Kolín,"Středočeský kraj"
Kondrac,Benešov,"Středočeský kraj"
Konecchlumí,Jičín,"Královéhradecký kraj"
Koněprusy,Beroun,"Středočeský kraj"
Koněšín,Třebíč,Vysočina
Konětopy,Praha-východ,"Středočeský kraj"
Konice,Prostějov,"Olomoucký kraj"
Konojedy,Praha-východ,"Středočeský kraj"
"Konstantinovy Lázně",Tachov,"Plzeňský kraj"
Kopidlno,Jičín,"Královéhradecký kraj"
Kopidlo,Plzeň-sever,"Plzeňský kraj"
Kopřivná,Šumperk,"Olomoucký kraj"
Kopřivnice,"Nový Jičín","Moravskoslezský kraj"
Kořenec,Blansko,"Jihomoravský kraj"
Kořenice,Kolín,"Středočeský kraj"
Kořenov,"Jablonec nad Nisou","Liberecký kraj"
Korkyně,Příbram,"Středočeský kraj"
Kornatice,Rokycany,"Plzeňský kraj"
Korno,Beroun,"Středočeský kraj"
Korolupy,Znojmo,"Jihomoravský kraj"
Korouhev,Svitavy,"Pardubický kraj"
Koroužné,"Žďár nad Sázavou",Vysočina
Korozluky,Most,"Ústecký kraj"
Koruna,Svitavy,"Pardubický kraj"
Koryčany,Kroměříž,"Zlínský kraj"
Koryta,"Mladá Boleslav","Středočeský kraj"
Koryta,Plzeň-sever,"Plzeňský kraj"
Korytná,"Uherské Hradiště","Zlínský kraj"
Košařiska,Frýdek-Místek,"Moravskoslezský kraj"
Košátky,"Mladá Boleslav","Středočeský kraj"
Košetice,Pelhřimov,Vysočina
Kosice,"Hradec Králové","Královéhradecký kraj"
Košice,"Kutná Hora","Středočeský kraj"
Košice,Tábor,"Jihočeský kraj"
Kosičky,"Hradec Králové","Královéhradecký kraj"
Košík,Nymburk,"Středočeský kraj"
Košíky,"Uherské Hradiště","Zlínský kraj"
Košín,Tábor,"Jihočeský kraj"
Kosmonosy,"Mladá Boleslav","Středočeský kraj"
Kosořice,"Mladá Boleslav","Středočeský kraj"
Kosořín,"Ústí nad Orlicí","Pardubický kraj"
Kosoř,Praha-západ,"Středočeský kraj"
"Kosova Hora",Příbram,"Středočeský kraj"
Kosov,Šumperk,"Olomoucký kraj"
Košťálov,Semily,"Liberecký kraj"
Košťany,Teplice,"Ústecký kraj"
Kostelany,Kroměříž,"Zlínský kraj"
"Kostelany nad Moravou","Uherské Hradiště","Zlínský kraj"
Kostelec,Hodonín,"Jihomoravský kraj"
Kostelec,Jičín,"Královéhradecký kraj"
Kostelec,Jihlava,Vysočina
"Kostelecké Horky","Rychnov nad Kněžnou","Královéhradecký kraj"
"Kostelec nad Černými lesy",Praha-východ,"Středočeský kraj"
"Kostelec nad Labem",Mělník,"Středočeský kraj"
"Kostelec nad Orlicí","Rychnov nad Kněžnou","Královéhradecký kraj"
"Kostelec nad Vltavou",Písek,"Jihočeský kraj"
"Kostelec na Hané",Prostějov,"Olomoucký kraj"
Kostelec,Tachov,"Plzeňský kraj"
"Kostelec u Heřmanova Městce",Chrudim,"Pardubický kraj"
"Kostelec u Holešova",Kroměříž,"Zlínský kraj"
"Kostelec u Křížků",Praha-východ,"Středočeský kraj"
"Kostelní Hlavno",Praha-východ,"Středočeský kraj"
"Kostelní Lhota",Nymburk,"Středočeský kraj"
"Kostelní Myslová",Jihlava,Vysočina
"Kostelní Radouň","Jindřichův Hradec","Jihočeský kraj"
"Kostelní Vydří","Jindřichův Hradec","Jihočeský kraj"
Kostěnice,Pardubice,"Pardubický kraj"
Kostice,Břeclav,"Jihomoravský kraj"
Koštice,Louny,"Ústecký kraj"
Kostníky,Třebíč,Vysočina
Kostomlátky,Nymburk,"Středočeský kraj"
"Kostomlaty nad Labem",Nymburk,"Středočeský kraj"
"Kostomlaty pod Milešovkou",Teplice,"Ústecký kraj"
"Kostomlaty pod Řípem",Litoměřice,"Ústecký kraj"
Kotenčice,Příbram,"Středočeský kraj"
Kotlasy,"Žďár nad Sázavou",Vysočina
Kotopeky,Beroun,"Středočeský kraj"
Kotovice,Plzeň-jih,"Plzeňský kraj"
Kotvrdovice,Blansko,"Jihomoravský kraj"
Kounice,Nymburk,"Středočeský kraj"
Kounov,Rakovník,"Středočeský kraj"
Kounov,"Rychnov nad Kněžnou","Královéhradecký kraj"
Koupě,Příbram,"Středočeský kraj"
Kouřim,Kolín,"Středočeský kraj"
"Kout na Šumavě",Domažlice,"Plzeňský kraj"
Kouty,"Havlíčkův Brod",Vysočina
Kouty,Nymburk,"Středočeský kraj"
Kouty,Třebíč,Vysočina
Kovač,Jičín,"Královéhradecký kraj"
Kovalovice,Brno-venkov,"Jihomoravský kraj"
Koválovice-Osíčany,Prostějov,"Olomoucký kraj"
Kovanec,"Mladá Boleslav","Středočeský kraj"
Kovanice,Nymburk,"Středočeský kraj"
Kováň,"Mladá Boleslav","Středočeský kraj"
Kovářov,Písek,"Jihočeský kraj"
Kovářská,Chomutov,"Ústecký kraj"
Kovčín,Klatovy,"Plzeňský kraj"
Kozárov,Blansko,"Jihomoravský kraj"
Kozárovice,Příbram,"Středočeský kraj"
Kožichovice,Třebíč,Vysočina
Kožlany,Plzeň-sever,"Plzeňský kraj"
Kozlany,Třebíč,Vysočina
Kozlany,Vyškov,"Jihomoravský kraj"
Kožlí,"Havlíčkův Brod",Vysočina
Kožlí,Písek,"Jihočeský kraj"
Kozlov,"Havlíčkův Brod",Vysočina
Kozlovice,Frýdek-Místek,"Moravskoslezský kraj"
Kozlovice,Plzeň-jih,"Plzeňský kraj"
Kozlov,Jihlava,Vysočina
Kozlov,"Žďár nad Sázavou",Vysočina
Kozly,"Česká Lípa","Liberecký kraj"
Kozly,Louny,"Ústecký kraj"
Kozmice,Benešov,"Středočeský kraj"
Kozmice,Opava,"Moravskoslezský kraj"
Kozojedy,Jičín,"Královéhradecký kraj"
Kozojedy,Plzeň-sever,"Plzeňský kraj"
Kozojedy,Praha-východ,"Středočeský kraj"
Kozojedy,Rakovník,"Středočeský kraj"
Kozojídky,Hodonín,"Jihomoravský kraj"
Kozolupy,Plzeň-sever,"Plzeňský kraj"
Kozomín,Mělník,"Středočeský kraj"
"Kožušany - Tážaly",Olomouc,"Olomoucký kraj"
Kožušice,Vyškov,"Jihomoravský kraj"
Krabčice,Litoměřice,"Ústecký kraj"
Kraborovice,"Havlíčkův Brod",Vysočina
Krahulčí,Jihlava,Vysočina
Krahulov,Třebíč,Vysočina
Krajková,Sokolov,"Karlovarský kraj"
Krajníčko,Strakonice,"Jihočeský kraj"
Krakovany,Kolín,"Středočeský kraj"
Krakovec,Rakovník,"Středočeský kraj"
Krakov,Rakovník,"Středočeský kraj"
"Kralice nad Oslavou",Třebíč,Vysočina
"Kralice na Hané",Prostějov,"Olomoucký kraj"
Králíky,"Hradec Králové","Královéhradecký kraj"
Králíky,"Ústí nad Orlicí","Pardubický kraj"
"Králova Lhota",Písek,"Jihočeský kraj"
"Králova Lhota","Rychnov nad Kněžnou","Královéhradecký kraj"
Královec,Trutnov,"Královéhradecký kraj"
Královice,Kladno,"Středočeský kraj"
Kralovice,Plzeň-sever,"Plzeňský kraj"
"Královské Poříčí",Sokolov,"Karlovarský kraj"
"Kralupy nad Vltavou",Mělník,"Středočeský kraj"
"Králův Dvůr",Beroun,"Středočeský kraj"
Kramolín,Plzeň-jih,"Plzeňský kraj"
Kramolín,Třebíč,Vysočina
Kramolna,Náchod,"Královéhradecký kraj"
Kraselov,Strakonice,"Jihočeský kraj"
Krásensko,Vyškov,"Jihomoravský kraj"
Krasíkovice,Pelhřimov,Vysočina
Krasíkov,"Ústí nad Orlicí","Pardubický kraj"
Kraslice,Sokolov,"Karlovarský kraj"
Krašlovice,Strakonice,"Jihočeský kraj"
Krásná,Cheb,"Karlovarský kraj"
Krásná,Frýdek-Místek,"Moravskoslezský kraj"
"Krásná Hora","Havlíčkův Brod",Vysočina
"Krásná Hora nad Vltavou",Příbram,"Středočeský kraj"
"Krásná Lípa",Děčín,"Ústecký kraj"
"Krásná Ves","Mladá Boleslav","Středočeský kraj"
Krásné,Chrudim,"Pardubický kraj"
"Krásné Údolí","Karlovy Vary","Karlovarský kraj"
Krásněves,"Žďár nad Sázavou",Vysočina
Krásné,"Žďár nad Sázavou",Vysočina
Krásno,Sokolov,"Karlovarský kraj"
"Krásný Dvůr",Louny,"Ústecký kraj"
"Krásný Les","Karlovy Vary","Karlovarský kraj"
"Krásný Les",Liberec,"Liberecký kraj"
Krasonice,Jihlava,Vysočina
Krasová,Blansko,"Jihomoravský kraj"
Krasov,Bruntál,"Moravskoslezský kraj"
Krašovice,Plzeň-sever,"Plzeňský kraj"
"Krátká Ves","Havlíčkův Brod",Vysočina
Kratochvilka,Brno-venkov,"Jihomoravský kraj"
Kratonohy,"Hradec Králové","Královéhradecký kraj"
Krátošice,Tábor,"Jihočeský kraj"
Kratušín,Prachatice,"Jihočeský kraj"
Kravaře,"Česká Lípa","Liberecký kraj"
Kravaře,Opava,"Moravskoslezský kraj"
Kravsko,Znojmo,"Jihomoravský kraj"
Krchleby,"Kutná Hora","Středočeský kraj"
Krchleby,Nymburk,"Středočeský kraj"
Krchleby,"Rychnov nad Kněžnou","Královéhradecký kraj"
Krchleby,Šumperk,"Olomoucký kraj"
Krčmaň,Olomouc,"Olomoucký kraj"
Křečhoř,Kolín,"Středočeský kraj"
Křečkov,Nymburk,"Středočeský kraj"
Křečovice,Benešov,"Středočeský kraj"
Křeč,Pelhřimov,Vysočina
Krejnice,Strakonice,"Jihočeský kraj"
Křekov,Zlín,"Zlínský kraj"
"Křelov - Břuchotín",Olomouc,"Olomoucký kraj"
Křelovice,Pelhřimov,Vysočina
Křelovice,Plzeň-sever,"Plzeňský kraj"
Křemže,"Český Krumlov","Jihočeský kraj"
Křenek,Praha-východ,"Středočeský kraj"
Křenice,Klatovy,"Plzeňský kraj"
Křenice,Praha-východ,"Středočeský kraj"
Křenovice,Písek,"Jihočeský kraj"
Křenovice,Přerov,"Olomoucký kraj"
Křenovice,Vyškov,"Jihomoravský kraj"
Křenov,Svitavy,"Pardubický kraj"
Křenovy,Domažlice,"Plzeňský kraj"
Křepenice,Příbram,"Středočeský kraj"
Křepice,Břeclav,"Jihomoravský kraj"
Křepice,Znojmo,"Jihomoravský kraj"
Křesetice,"Kutná Hora","Středočeský kraj"
Křešice,Litoměřice,"Ústecký kraj"
Křesín,Litoměřice,"Ústecký kraj"
Křešín,Pelhřimov,Vysočina
Křešín,Příbram,"Středočeský kraj"
Křetín,Blansko,"Jihomoravský kraj"
Krhanice,Benešov,"Středočeský kraj"
Krhov,Blansko,"Jihomoravský kraj"
Krhovice,Znojmo,"Jihomoravský kraj"
Krhov,Třebíč,Vysočina
Křičeň,Pardubice,"Pardubický kraj"
Křídla,"Žďár nad Sázavou",Vysočina
Křídlůvky,Znojmo,"Jihomoravský kraj"
Křimov,Chomutov,"Ústecký kraj"
Křinec,Nymburk,"Středočeský kraj"
Křinice,Náchod,"Královéhradecký kraj"
Křišťanovice,Bruntál,"Moravskoslezský kraj"
Křišťanov,Prachatice,"Jihočeský kraj"
Křivoklát,Rakovník,"Středočeský kraj"
Křivsoudov,Benešov,"Středočeský kraj"
Křižánky,"Žďár nad Sázavou",Vysočina
Křižanovice,Chrudim,"Pardubický kraj"
"Křižanovice u Vyškova",Vyškov,"Jihomoravský kraj"
Křižanovice,Vyškov,"Jihomoravský kraj"
Křižanov,Písek,"Jihočeský kraj"
Křižanov,"Žďár nad Sázavou",Vysočina
Křižany,Liberec,"Liberecký kraj"
Křižínkov,Brno-venkov,"Jihomoravský kraj"
"Křížkový Újezdec",Praha-východ,"Středočeský kraj"
Křižovatka,Cheb,"Karlovarský kraj"
Krmelín,Frýdek-Místek,"Moravskoslezský kraj"
Krňany,Benešov,"Středočeský kraj"
Krnov,Bruntál,"Moravskoslezský kraj"
Krnsko,"Mladá Boleslav","Středočeský kraj"
Krokočín,Třebíč,Vysočina
Kroměříž,Kroměříž,"Zlínský kraj"
Krompach,"Česká Lípa","Liberecký kraj"
"Kropáčova Vrutice","Mladá Boleslav","Středočeský kraj"
Kroučová,Rakovník,"Středočeský kraj"
Krouna,Chrudim,"Pardubický kraj"
Křoví,"Žďár nad Sázavou",Vysočina
Krsy,Plzeň-sever,"Plzeňský kraj"
Křtěnov,Blansko,"Jihomoravský kraj"
Křtiny,Blansko,"Jihomoravský kraj"
Křtomil,Přerov,"Olomoucký kraj"
Krtov,Tábor,"Jihočeský kraj"
Krty,Rakovník,"Středočeský kraj"
Krty,Strakonice,"Jihočeský kraj"
Krucemburk,"Havlíčkův Brod",Vysočina
Kruh,Semily,"Liberecký kraj"
Krumsín,Prostějov,"Olomoucký kraj"
Krumvíř,Břeclav,"Jihomoravský kraj"
Krupá,Kolín,"Středočeský kraj"
Krupá,Rakovník,"Středočeský kraj"
Krupka,Teplice,"Ústecký kraj"
Krušovice,Rakovník,"Středočeský kraj"
Kružberk,Opava,"Moravskoslezský kraj"
Krychnov,Kolín,"Středočeský kraj"
Kryry,Louny,"Ústecký kraj"
"Kryštofovo Údolí",Liberec,"Liberecký kraj"
"Kryštofovy Hamry",Chomutov,"Ústecký kraj"
Kšely,Kolín,"Středočeský kraj"
Kšice,Tachov,"Plzeňský kraj"
Ktiš,Prachatice,"Jihočeský kraj"
Ktová,Semily,"Liberecký kraj"
Kublov,Beroun,"Středočeský kraj"
"Kubova Huť",Prachatice,"Jihočeský kraj"
Kubšice,Znojmo,"Jihomoravský kraj"
Kučerov,Vyškov,"Jihomoravský kraj"
Kučeř,Písek,"Jihočeský kraj"
Kuchařovice,Znojmo,"Jihomoravský kraj"
Kudlovice,"Uherské Hradiště","Zlínský kraj"
Kujavy,"Nový Jičín","Moravskoslezský kraj"
Kukle,Svitavy,"Pardubický kraj"
Kuklík,"Žďár nad Sázavou",Vysočina
Kuks,Trutnov,"Královéhradecký kraj"
Kulířov,Blansko,"Jihomoravský kraj"
Kunčice,"Hradec Králové","Královéhradecký kraj"
"Kunčice nad Labem",Trutnov,"Královéhradecký kraj"
"Kunčice pod Ondřejníkem",Frýdek-Místek,"Moravskoslezský kraj"
Kunčina,Svitavy,"Pardubický kraj"
"Kunčina Ves",Blansko,"Jihomoravský kraj"
Kundratice,"Žďár nad Sázavou",Vysočina
Kunějovice,Plzeň-sever,"Plzeňský kraj"
Kunemil,"Havlíčkův Brod",Vysočina
Kunětice,Pardubice,"Pardubický kraj"
Kunice,Blansko,"Jihomoravský kraj"
Kunice,Praha-východ,"Středočeský kraj"
Kuničky,Blansko,"Jihomoravský kraj"
Kunín,"Nový Jičín","Moravskoslezský kraj"
Kunkovice,Kroměříž,"Zlínský kraj"
Kuňovice,Benešov,"Středočeský kraj"
Kunovice,"Uherské Hradiště","Zlínský kraj"
Kunovice,Vsetín,"Zlínský kraj"
Kunratice,Děčín,"Ústecký kraj"
Kunratice,Liberec,"Liberecký kraj"
"Kunratice u Cvikova","Česká Lípa","Liberecký kraj"
Kunštát,Blansko,"Jihomoravský kraj"
Kunvald,"Ústí nad Orlicí","Pardubický kraj"
Kunžak,"Jindřichův Hradec","Jihočeský kraj"
Kupařovice,Brno-venkov,"Jihomoravský kraj"
Kurdějov,Břeclav,"Jihomoravský kraj"
Kuřimany,Strakonice,"Jihočeský kraj"
Kuřim,Brno-venkov,"Jihomoravský kraj"
"Kuřimská Nová Ves",Brno-venkov,"Jihomoravský kraj"
"Kuřimské Jestřabí",Brno-venkov,"Jihomoravský kraj"
Kuroslepy,Třebíč,Vysočina
Kurovice,Kroměříž,"Zlínský kraj"
"Kutná Hora","Kutná Hora","Středočeský kraj"
Kutrovice,Kladno,"Středočeský kraj"
Kuželov,Hodonín,"Jihomoravský kraj"
Kvasice,Kroměříž,"Zlínský kraj"
Kvasiny,"Rychnov nad Kněžnou","Královéhradecký kraj"
Kváskovice,Strakonice,"Jihočeský kraj"
Kvášňovice,Klatovy,"Plzeňský kraj"
Květinov,"Havlíčkův Brod",Vysočina
Květná,Svitavy,"Pardubický kraj"
Květnice,Praha-východ,"Středočeský kraj"
Květov,Písek,"Jihočeský kraj"
Kvíčovice,Domažlice,"Plzeňský kraj"
Kvilda,Prachatice,"Jihočeský kraj"
Kvílice,Kladno,"Středočeský kraj"
Kvítkov,"Česká Lípa","Liberecký kraj"
Kvítkovice,"České Budějovice","Jihočeský kraj"
Kyje,Jičín,"Královéhradecký kraj"
Kyjov,"Havlíčkův Brod",Vysočina
Kyjov,Hodonín,"Jihomoravský kraj"
Kyjovice,Opava,"Moravskoslezský kraj"
Kyjovice,Znojmo,"Jihomoravský kraj"
Kyjov,"Žďár nad Sázavou",Vysočina
Kynice,"Havlíčkův Brod",Vysočina
"Kynšperk nad Ohří",Sokolov,"Karlovarský kraj"
Kyselka,"Karlovy Vary","Karlovarský kraj"
Kyselovice,Kroměříž,"Zlínský kraj"
Kyšice,Kladno,"Středočeský kraj"
Kyšice,Plzeň-město,"Plzeňský kraj"
Kyškovice,Litoměřice,"Ústecký kraj"
Kytín,Praha-západ,"Středočeský kraj"
Kytlice,Děčín,"Ústecký kraj"
"Labská Stráň",Děčín,"Ústecký kraj"
"Labské Chrčice",Pardubice,"Pardubický kraj"
Labuty,Hodonín,"Jihomoravský kraj"
Lačnov,Vsetín,"Zlínský kraj"
Lahošť,Teplice,"Ústecký kraj"
Lampertice,Trutnov,"Královéhradecký kraj"
Lančov,Znojmo,"Jihomoravský kraj"
Lánov,Trutnov,"Královéhradecký kraj"
Lanškroun,"Ústí nad Orlicí","Pardubický kraj"
Lány,Chrudim,"Pardubický kraj"
Lány,"Havlíčkův Brod",Vysočina
Lány,Kladno,"Středočeský kraj"
"Lány u Dašic",Pardubice,"Pardubický kraj"
Lanžhot,Břeclav,"Jihomoravský kraj"
Lanžov,Trutnov,"Královéhradecký kraj"
Lásenice,"Jindřichův Hradec","Jihočeský kraj"
Laškov,Prostějov,"Olomoucký kraj"
Lašovice,Rakovník,"Středočeský kraj"
Lavičky,"Žďár nad Sázavou",Vysočina
Lavičné,Svitavy,"Pardubický kraj"
